PassengerId,Fare,Embarked
1,7.25,S
2,71.2833,C
3,7.925,S
4,53.1,S
5,8.05,S
6,8.4583,Q
7,51.8625,S
8,21.075,S
9,11.1333,S
10,30.0708,C
11,16.7,S
12,26.55,S
13,8.05,S
14,31.275,S
15,7.8542,S
16,16,S
17,29.125,Q
18,13,S
19,18,S
20,7.225,C
21,26,S
22,13,S
23,8.0292,Q
24,35.5,S
25,21.075,S
26,31.3875,S
27,7.225,C
28,263,S
29,7.8792,Q
30,7.8958,S
31,27.7208,C
32,146.5208,C
33,7.75,Q
34,10.5,S
35,82.1708,C
36,52,S
37,7.2292,C
38,8.05,S
39,18,S
40,11.2417,C
41,9.475,S
42,21,S
43,7.8958,C
44,41.5792,C
45,7.8792,Q
46,8.05,S
47,15.5,Q
48,7.75,Q
49,21.6792,C
50,17.8,S
51,39.6875,S
52,7.8,S
53,76.7292,C
54,26,S
55,61.9792,C
56,35.5,S
57,10.5,S
58,7.2292,C
59,27.75,S
60,46.9,S
61,7.2292,C
62,80,
63,83.475,S
64,27.9,S
65,27.7208,C
66,15.2458,C
67,10.5,S
68,8.1583,S
69,7.925,S
70,8.6625,S
71,10.5,S
72,46.9,S
73,73.5,S
74,14.4542,C
75,56.4958,S
76,7.65,S
77,7.8958,S
78,8.05,S
79,29,S
80,12.475,S
81,9,S
82,9.5,S
83,7.7875,Q
84,47.1,S
85,10.5,S
86,15.85,S
87,34.375,S
88,8.05,S
89,263,S
90,8.05,S
91,8.05,S
92,7.8542,S
93,61.175,S
94,20.575,S
95,7.25,S
96,8.05,S
97,34.6542,C
98,63.3583,C
99,23,S
100,26,S
101,7.8958,S
102,7.8958,S
103,77.2875,S
104,8.6542,S
105,7.925,S
106,7.8958,S
107,7.65,S
108,7.775,S
109,7.8958,S
110,24.15,Q
111,52,S
112,14.4542,C
113,8.05,S
114,9.825,S
115,14.4583,C
116,7.925,S
117,7.75,Q
118,21,S
119,247.5208,C
120,31.275,S
121,73.5,S
122,8.05,S
123,30.0708,C
124,13,S
125,77.2875,S
126,11.2417,C
127,7.75,Q
128,7.1417,S
129,22.3583,C
130,6.975,S
131,7.8958,C
132,7.05,S
133,14.5,S
134,26,S
135,13,S
136,15.0458,C
137,26.2833,S
138,53.1,S
139,9.2167,S
140,79.2,C
141,15.2458,C
142,7.75,S
143,15.85,S
144,6.75,Q
145,11.5,S
146,36.75,S
147,7.7958,S
148,34.375,S
149,26,S
150,13,S
151,12.525,S
152,66.6,S
153,8.05,S
154,14.5,S
155,7.3125,S
156,61.3792,C
157,7.7333,Q
158,8.05,S
159,8.6625,S
160,69.55,S
161,16.1,S
162,15.75,S
163,7.775,S
164,8.6625,S
165,39.6875,S
166,20.525,S
167,55,S
168,27.9,S
169,25.925,S
170,56.4958,S
171,33.5,S
172,29.125,Q
173,11.1333,S
174,7.925,S
175,30.6958,C
176,7.8542,S
177,25.4667,S
178,28.7125,C
179,13,S
180,0,S
181,69.55,S
182,15.05,C
183,31.3875,S
184,39,S
185,22.025,S
186,50,S
187,15.5,Q
188,26.55,S
189,15.5,Q
190,7.8958,S
191,13,S
192,13,S
193,7.8542,S
194,26,S
195,27.7208,C
196,146.5208,C
197,7.75,Q
198,8.4042,S
199,7.75,Q
200,13,S
201,9.5,S
202,69.55,S
203,6.4958,S
204,7.225,C
205,8.05,S
206,10.4625,S
207,15.85,S
208,18.7875,C
209,7.75,Q
210,31,C
211,7.05,S
212,21,S
213,7.25,S
214,13,S
215,7.75,Q
216,113.275,C
217,7.925,S
218,27,S
219,76.2917,C
220,10.5,S
221,8.05,S
222,13,S
223,8.05,S
224,7.8958,S
225,90,S
226,9.35,S
227,10.5,S
228,7.25,S
229,13,S
230,25.4667,S
231,83.475,S
232,7.775,S
233,13.5,S
234,31.3875,S
235,10.5,S
236,7.55,S
237,26,S
238,26.25,S
239,10.5,S
240,12.275,S
241,14.4542,C
242,15.5,Q
243,10.5,S
244,7.125,S
245,7.225,C
246,90,Q
247,7.775,S
248,14.5,S
249,52.5542,S
250,26,S
251,7.25,S
252,10.4625,S
253,26.55,S
254,16.1,S
255,20.2125,S
256,15.2458,C
257,79.2,C
258,86.5,S
259,512.3292,C
260,26,S
261,7.75,Q
262,31.3875,S
263,79.65,S
264,0,S
265,7.75,Q
266,10.5,S
267,39.6875,S
268,7.775,S
269,153.4625,S
270,135.6333,S
271,31,S
272,0,S
273,19.5,S
274,29.7,C
275,7.75,Q
276,77.9583,S
277,7.75,S
278,0,S
279,29.125,Q
280,20.25,S
281,7.75,Q
282,7.8542,S
283,9.5,S
284,8.05,S
285,26,S
286,8.6625,C
287,9.5,S
288,7.8958,S
289,13,S
290,7.75,Q
291,78.85,S
292,91.0792,C
293,12.875,C
294,8.85,S
295,7.8958,S
296,27.7208,C
297,7.2292,C
298,151.55,S
299,30.5,S
300,247.5208,C
301,7.75,Q
302,23.25,Q
303,0,S
304,12.35,Q
305,8.05,S
306,151.55,S
307,110.8833,C
308,108.9,C
309,24,C
310,56.9292,C
311,83.1583,C
312,262.375,C
313,26,S
314,7.8958,S
315,26.25,S
316,7.8542,S
317,26,S
318,14,S
319,164.8667,S
320,134.5,C
321,7.25,S
322,7.8958,S
323,12.35,Q
324,29,S
325,69.55,S
326,135.6333,C
327,6.2375,S
328,13,S
329,20.525,S
330,57.9792,C
331,23.25,Q
332,28.5,S
333,153.4625,S
334,18,S
335,133.65,S
336,7.8958,S
337,66.6,S
338,134.5,C
339,8.05,S
340,35.5,S
341,26,S
342,263,S
343,13,S
344,13,S
345,13,S
346,13,S
347,13,S
348,16.1,S
349,15.9,S
350,8.6625,S
351,9.225,S
352,35,S
353,7.2292,C
354,17.8,S
355,7.225,C
356,9.5,S
357,55,S
358,13,S
359,7.8792,Q
360,7.8792,Q
361,27.9,S
362,27.7208,C
363,14.4542,C
364,7.05,S
365,15.5,Q
366,7.25,S
367,75.25,C
368,7.2292,C
369,7.75,Q
370,69.3,C
371,55.4417,C
372,6.4958,S
373,8.05,S
374,135.6333,C
375,21.075,S
376,82.1708,C
377,7.25,S
378,211.5,C
379,4.0125,C
380,7.775,S
381,227.525,C
382,15.7417,C
383,7.925,S
384,52,S
385,7.8958,S
386,73.5,S
387,46.9,S
388,13,S
389,7.7292,Q
390,12,C
391,120,S
392,7.7958,S
393,7.925,S
394,113.275,C
395,16.7,S
396,7.7958,S
397,7.8542,S
398,26,S
399,10.5,S
400,12.65,S
401,7.925,S
402,8.05,S
403,9.825,S
404,15.85,S
405,8.6625,S
406,21,S
407,7.75,S
408,18.75,S
409,7.775,S
410,25.4667,S
411,7.8958,S
412,6.8583,Q
413,90,Q
414,0,S
415,7.925,S
416,8.05,S
417,32.5,S
418,13,S
419,13,S
420,24.15,S
421,7.8958,C
422,7.7333,Q
423,7.875,S
424,14.4,S
425,20.2125,S
426,7.25,S
427,26,S
428,26,S
429,7.75,Q
430,8.05,S
431,26.55,S
432,16.1,S
433,26,S
434,7.125,S
435,55.9,S
436,120,S
437,34.375,S
438,18.75,S
439,263,S
440,10.5,S
441,26.25,S
442,9.5,S
443,7.775,S
444,13,S
445,8.1125,S
446,81.8583,S
447,19.5,S
448,26.55,S
449,19.2583,C
450,30.5,S
451,27.75,S
452,19.9667,S
453,27.75,C
454,89.1042,C
455,8.05,S
456,7.8958,C
457,26.55,S
458,51.8625,S
459,10.5,S
460,7.75,Q
461,26.55,S
462,8.05,S
463,38.5,S
464,13,S
465,8.05,S
466,7.05,S
467,0,S
468,26.55,S
469,7.725,Q
470,19.2583,C
471,7.25,S
472,8.6625,S
473,27.75,S
474,13.7917,C
475,9.8375,S
476,52,S
477,21,S
478,7.0458,S
479,7.5208,S
480,12.2875,S
481,46.9,S
482,0,S
483,8.05,S
484,9.5875,S
485,91.0792,C
486,25.4667,S
487,90,S
488,29.7,C
489,8.05,S
490,15.9,S
491,19.9667,S
492,7.25,S
493,30.5,S
494,49.5042,C
495,8.05,S
496,14.4583,C
497,78.2667,C
498,15.1,S
499,151.55,S
500,7.7958,S
501,8.6625,S
502,7.75,Q
503,7.6292,Q
504,9.5875,S
505,86.5,S
506,108.9,C
507,26,S
508,26.55,S
509,22.525,S
510,56.4958,S
511,7.75,Q
512,8.05,S
513,26.2875,S
514,59.4,C
515,7.4958,S
516,34.0208,S
517,10.5,S
518,24.15,Q
519,26,S
520,7.8958,S
521,93.5,S
522,7.8958,S
523,7.225,C
524,57.9792,C
525,7.2292,C
526,7.75,Q
527,10.5,S
528,221.7792,S
529,7.925,S
530,11.5,S
531,26,S
532,7.2292,C
533,7.2292,C
534,22.3583,C
535,8.6625,S
536,26.25,S
537,26.55,S
538,106.425,C
539,14.5,S
540,49.5,C
541,71,S
542,31.275,S
543,31.275,S
544,26,S
545,106.425,C
546,26,S
547,26,S
548,13.8625,C
549,20.525,S
550,36.75,S
551,110.8833,C
552,26,S
553,7.8292,Q
554,7.225,C
555,7.775,S
556,26.55,S
557,39.6,C
558,227.525,C
559,79.65,S
560,17.4,S
561,7.75,Q
562,7.8958,S
563,13.5,S
564,8.05,S
565,8.05,S
566,24.15,S
567,7.8958,S
568,21.075,S
569,7.2292,C
570,7.8542,S
571,10.5,S
572,51.4792,S
573,26.3875,S
574,7.75,Q
575,8.05,S
576,14.5,S
577,13,S
578,55.9,S
579,14.4583,C
580,7.925,S
581,30,S
582,110.8833,C
583,26,S
584,40.125,C
585,8.7125,C
586,79.65,S
587,15,S
588,79.2,C
589,8.05,S
590,8.05,S
591,7.125,S
592,78.2667,C
593,7.25,S
594,7.75,Q
595,26,S
596,24.15,S
597,33,S
598,0,S
599,7.225,C
600,56.9292,C
601,27,S
602,7.8958,S
603,42.4,S
604,8.05,S
605,26.55,C
606,15.55,S
607,7.8958,S
608,30.5,S
609,41.5792,C
610,153.4625,S
611,31.275,S
612,7.05,S
613,15.5,Q
614,7.75,Q
615,8.05,S
616,65,S
617,14.4,S
618,16.1,S
619,39,S
